Camarões	a
Brasil	a
México	a
Croácia	a
Austrália	b
Chile	b
Espanha	b
Holanda	b
Costa do Marfim	c
Colômbia	c
Grécia	c
Japão	c
Uruguai	d
Costa Rica	d
Inglaterra	d
Itália	d
Equador	e
Honduras	e
França	e
Suíça	e
Nigéria	f
Argentina	f
Bósnia	f
Irã	f
Gana	g
Estados Unidos	g
Portugal	g
Alemanha	g
Argélia	h
Bélgica	h
Rússia	h
Coréia do Sul	h
Kuwait	-
Qatar	-
Emirados Árabes	-
Arábia Saudita	-
Canadá	-
Escócia	-
Dinamarca	-
Noruega	-
Suécia	-
Áustria	-
Hungria	-
Ucrânia	-
Tunísia	-
Turquia	-
China	-
Israel	-
